siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-10-01 00:00:00",3.1
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-10-01 00:00:00",21.04
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-10-01 00:00:00",20.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-10-01 00:00:00",13.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-10-01 00:00:00",0.44
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-10-01 00:00:00",42.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-10-01 01:00:00",2.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-10-01 01:00:00",39.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-10-01 01:00:00",17.22
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-10-01 01:00:00",18.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-10-01 01:00:00",14.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-10-01 01:00:00",0.38
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-10-01 02:00:00",0.37
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-10-01 02:00:00",20.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-10-01 02:00:00",16.87
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-10-01 02:00:00",36.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-10-01 02:00:00",14.8
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-10-01 02:00:00",2.5
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-10-01 03:00:00",16.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-10-01 03:00:00",3.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-10-01 03:00:00",0.37
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-10-01 03:00:00",41.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-10-01 03:00:00",15.82
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-10-01 03:00:00",22.0
