siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 00:00:00",11.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 00:00:00",0.4
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 00:00:00",0.28
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 00:00:00",10.5
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 00:00:00",10.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 00:00:00",24.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 01:00:00",15.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 01:00:00",14.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 01:00:00",1.3
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 01:00:00",29.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 01:00:00",6.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 01:00:00",0.3
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 02:00:00",1.9
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 02:00:00",14.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 02:00:00",12.5
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 02:00:00",30.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 02:00:00",6.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 02:00:00",0.25
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 03:00:00",17.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 03:00:00",10.1
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 03:00:00",32.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 03:00:00",6.1
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 03:00:00",0.22
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 03:00:00",2.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 04:00:00",11.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 04:00:00",8.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 04:00:00",26.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 04:00:00",7.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 04:00:00",0.19
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 04:00:00",0.8
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 05:00:00",15.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 05:00:00",8.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 05:00:00",27.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 05:00:00",9.2
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 05:00:00",0.17
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 05:00:00",1.6
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 06:00:00",11.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 06:00:00",8.1
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 06:00:00",29.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 06:00:00",10.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 06:00:00",0.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 06:00:00",0.8
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 07:00:00",11.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 07:00:00",12.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 07:00:00",10.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 07:00:00",38.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 07:00:00",0.27
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 07:00:00",2.9
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 08:00:00",13.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 08:00:00",3.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 08:00:00",0.26
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 08:00:00",19.1
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 08:00:00",36.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 08:00:00",12.5
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-09-01 09:00:00",7.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-09-01 09:00:00",0.17
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-09-01 09:00:00",27.5
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 09:00:00",1.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 09:00:00",22.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-09-01 09:00:00",8.5
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-09-01 10:00:00",18.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-09-01 10:00:00",0.9
