siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-05-01 00:00",33.1
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 00:00",26
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 00:00",x
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-05-01 00:00",0.51
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-05-01 00:00",16.4
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-05-01 00:00",2.5
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-05-01 01:00",33.9
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 01:00",24
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-05-01 01:00",0.42
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-05-01 01:00",12.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-05-01 01:00",2.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 01:00",x
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-05-01 02:00",11.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-05-01 02:00",3.1
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-05-01 02:00",31.2
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 02:00",25
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 02:00",39
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-05-01 02:00",0.39
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-05-01 03:00",5
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 03:00",56
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-05-01 03:00",13.4
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-05-01 03:00",23.2
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 03:00",28
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-05-01 03:00",0.43
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2021-05-01 04:00",0.45
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2021-05-01 04:00",46
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-05-01 04:00",4
49,仁武,高雄市,3,臭氧,O3,ppb,"2021-05-01 04:00",22.8
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2021-05-01 04:00",28
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2021-05-01 04:00",13.4
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2021-05-01 05:00",9.7
