siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-04-01 02:00",28.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-04-01 02:00",0.28
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 02:00",8.1
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-04-01 02:00",30
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-04-01 02:00",0.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-04-01 02:00",43
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-04-01 03:00",41
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-04-01 03:00",30.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-04-01 03:00",0.28
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-04-01 03:00",0.4
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 03:00",8.4
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-04-01 03:00",24
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-04-01 04:00",31.6
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-04-01 04:00",27
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 04:00",8.1
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-04-01 04:00",0.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-04-01 04:00",40
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-04-01 04:00",0.28
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-04-01 05:00",44
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-04-01 05:00",34
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-04-01 05:00",0.5
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 05:00",9.3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-04-01 05:00",0.28
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-04-01 05:00",28.7
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 06:00",13.7
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-04-01 06:00",0.4
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-04-01 06:00",22.4
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-04-01 06:00",25
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-04-01 06:00",0.33
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-04-01 06:00",43
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-04-01 07:00",0.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-04-01 07:00",28
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-04-01 07:00",0.41
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-04-01 07:00",40
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-04-01 07:00",20.9
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 07:00",18.1
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-04-01 08:00",0.4
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-04-01 08:00",41
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-04-01 08:00",22.1
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-04-01 08:00",0.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-04-01 08:00",23
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 08:00",18
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-04-01 09:00",19.1
