siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-05-01 00:00",29
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 00:00",30.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 00:00",0.4
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 00:00",11
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 00:00",2.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 00:00",90
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 01:00",2.6
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 01:00",0.44
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-05-01 01:00",32
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 01:00",12.6
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 01:00",91
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 01:00",25.4
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 02:00",22.6
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 02:00",2.2
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 02:00",12.3
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 02:00",84
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 02:00",0.42
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-05-01 02:00",32
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 03:00",11.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 03:00",0.44
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 03:00",2.3
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 03:00",19.8
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-05-01 03:00",30
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 03:00",75
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 04:00",17.2
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 04:00",13.1
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-05-01 04:00",28
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 04:00",0.46
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 04:00",2.1
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 04:00",68
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 05:00",0.49
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 05:00",17.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 05:00",2.4
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-05-01 05:00",35
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 05:00",70
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 05:00",10.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 06:00",0.51
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 06:00",66
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 06:00",11.9
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 06:00",2
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 06:00",16.5
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-05-01 06:00",32
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-05-01 07:00",75
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-05-01 07:00",2.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-05-01 07:00",0.69
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-05-01 07:00",19.2
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-05-01 07:00",18
