siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-03-01 00:00:00",44.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-03-01 00:00:00",24.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-03-01 00:00:00",3.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-03-01 00:00:00",0.31
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-03-01 00:00:00",26.6
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-03-01 00:00:00",17.68
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-03-01 01:00:00",29.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-03-01 01:00:00",22.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-03-01 01:00:00",10.84
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-03-01 01:00:00",18.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-03-01 01:00:00",0.3
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-03-01 01:00:00",2.1
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-03-01 02:00:00",9.66
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-03-01 02:00:00",1.9
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-03-01 02:00:00",0.28
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-03-01 02:00:00",15.5
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-03-01 02:00:00",23.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-03-01 02:00:00",14.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-03-01 03:00:00",0.3
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-03-01 03:00:00",1.9
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-03-01 03:00:00",10.24
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-03-01 03:00:00",18.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-03-01 03:00:00",22.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-03-01 03:00:00",16.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-03-01 04:00:00",0.3
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-03-01 04:00:00",18.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-03-01 04:00:00",30.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-03-01 04:00:00",9.44
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-03-01 04:00:00",16.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-03-01 04:00:00",1.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-03-01 05:00:00",24.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-03-01 05:00:00",2.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-03-01 05:00:00",0.37
