siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-02-01 00:00:00",23.42
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-02-01 00:00:00",1.9
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-02-01 00:00:00",0.52
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-02-01 00:00:00",29.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-02-01 00:00:00",57.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-02-01 00:00:00",34.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-02-01 01:00:00",0.57
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-02-01 01:00:00",37.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-02-01 01:00:00",32.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-02-01 01:00:00",54.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-02-01 01:00:00",22.6
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-02-01 01:00:00",1.9
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-02-01 02:00:00",18.99
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-02-01 02:00:00",1.9
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-02-01 02:00:00",0.41
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-02-01 02:00:00",29.7
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-02-01 02:00:00",48.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-02-01 02:00:00",35.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-02-01 03:00:00",46.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-02-01 03:00:00",25.2
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-02-01 03:00:00",33.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-02-01 03:00:00",17.34
