siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 00:00",1.2
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 00:00",0.38
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 00:00",35.5
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 00:00",34
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 00:00",12
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 00:00",24
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 01:00",1.6
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 01:00",0.4
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 01:00",32.3
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 01:00",40
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 01:00",9.2
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 01:00",19
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 02:00",1.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 02:00",0.39
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 02:00",33
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 02:00",37
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 02:00",8.3
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 02:00",20
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 03:00",1.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 03:00",0.38
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 03:00",31.1
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 03:00",35
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 03:00",8.6
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 03:00",20
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 04:00",1.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 04:00",0.39
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 04:00",25.1
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 04:00",33
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 04:00",10.6
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 04:00",16
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 05:00",1.6
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 05:00",0.43
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 05:00",11.8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 05:00",38
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 05:00",19.1
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 05:00",20
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 06:00",3.1
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 06:00",0.49
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 06:00",9.4
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 06:00",52
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 06:00",22.2
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 06:00",27
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 07:00",5.1
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 07:00",0.61
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 07:00",13
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 07:00",50
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 07:00",23.9
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 07:00",23
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 08:00",3
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 08:00",0.48
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 08:00",28.9
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-11-01 08:00",41
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-11-01 08:00",17.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-11-01 08:00",16
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-11-01 09:00",1.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-11-01 09:00",0.31
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-11-01 09:00",48.8
