siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 00:00:00",11.9
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 00:00:00",0.16
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 00:00:00",3.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 00:00:00",13.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 00:00:00",5.54
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 00:00:00",5.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 01:00:00",8.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 01:00:00",1.9
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 01:00:00",0.14
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 01:00:00",11.2
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 01:00:00",12.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 01:00:00",4.31
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 02:00:00",12.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 02:00:00",0.13
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 02:00:00",12.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 02:00:00",2.2
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 02:00:00",4.58
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 02:00:00",7.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 03:00:00",0.14
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 03:00:00",11.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 03:00:00",4.56
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 03:00:00",11.3
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 03:00:00",2.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 03:00:00",6.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 04:00:00",2.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 04:00:00",0.15
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 04:00:00",9.7
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 04:00:00",18.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 04:00:00",5.25
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 04:00:00",5.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 05:00:00",9.1
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 05:00:00",2.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 05:00:00",0.17
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 05:00:00",5.6
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 05:00:00",4.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 05:00:00",15.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 06:00:00",4.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 06:00:00",0.22
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 06:00:00",10.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 06:00:00",17.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 06:00:00",6.49
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 06:00:00",6.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 07:00:00",7.87
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 07:00:00",6.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 07:00:00",20.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 07:00:00",0.33
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 07:00:00",14.7
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 07:00:00",7.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 08:00:00",0.29
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 08:00:00",3.1
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 08:00:00",6.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 08:00:00",10.34
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 08:00:00",17.4
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 08:00:00",12.0
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 09:00:00",0.22
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 09:00:00",12.17
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 09:00:00",12.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 09:00:00",18.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 09:00:00",2.0
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 09:00:00",7.0
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 10:00:00",18.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 10:00:00",7.83
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 10:00:00",7.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 10:00:00",1.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 10:00:00",0.16
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 10:00:00",22.9
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2020-07-01 11:00:00",4.0
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 11:00:00",1.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 11:00:00",0.17
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 11:00:00",22.7
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 11:00:00",19.0
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2020-07-01 11:00:00",9.07
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2020-07-01 12:00:00",17.0
49,仁武,高雄市,3,臭氧,O3,ppb,"2020-07-01 12:00:00",23.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2020-07-01 12:00:00",0.16
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2020-07-01 12:00:00",1.9
