siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-11-01 00:00",2.3
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-11-01 00:00",10
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-11-01 00:00",10.9
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-11-01 00:00",0.23
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-11-01 00:00",12.7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-11-01 00:00",8
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-11-01 01:00",13
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-11-01 01:00",11.6
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-11-01 01:00",10
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-11-01 01:00",0.22
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-11-01 01:00",8
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-11-01 01:00",1.8
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-11-01 02:00",1.2
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-11-01 02:00",12.5
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-11-01 02:00",11
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-11-01 02:00",9.7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-11-01 02:00",0.24
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-11-01 02:00",22
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-11-01 03:00",7
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-11-01 03:00",0.21
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-11-01 03:00",8
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-11-01 03:00",18.2
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-11-01 03:00",9.8
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-11-01 03:00",1.5
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-11-01 04:00",14.9
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-11-01 04:00",3.3
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-11-01 04:00",16.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-11-01 04:00",0.19
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-11-01 04:00",6
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-11-01 04:00",7
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2022-11-01 05:00",5
49,仁武,高雄市,3,臭氧,O3,ppb,"2022-11-01 05:00",11.9
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2022-11-01 05:00",7
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-11-01 05:00",14.7
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2022-11-01 05:00",3.5
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2022-11-01 05:00",0.19
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2022-11-01 06:00",16.9
