siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-01-01 00:00",2.9
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-01-01 00:00",63
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-01-01 00:00",36
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-01-01 00:00",16.8
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-01-01 00:00",0.47
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-01-01 00:00",13.6
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-01-01 01:00",55
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-01-01 01:00",0.48
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-01-01 01:00",18.5
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-01-01 01:00",11.2
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-01-01 01:00",2.3
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-01-01 01:00",38
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-01-01 02:00",2.4
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-01-01 02:00",0.46
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-01-01 02:00",15.9
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-01-01 02:00",45
49,仁武,高雄市,33,細懸浮微粒,PM2.5,μg/m3,"2023-01-01 02:00",34
49,仁武,高雄市,3,臭氧,O3,ppb,"2023-01-01 02:00",10.9
49,仁武,高雄市,2,一氧化碳,CO,ppm,"2023-01-01 03:00",0.44
49,仁武,高雄市,7,二氧化氮,NO2,ppb,"2023-01-01 03:00",15.1
49,仁武,高雄市,1,二氧化硫,SO2,ppb,"2023-01-01 03:00",1.9
49,仁武,高雄市,4,懸浮微粒,PM10,μg/m3,"2023-01-01 03:00",46
