siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 00:00",0.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 00:00",0.23
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 00:00",44.7
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 00:00",1
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 00:00",3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 01:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 01:00",2
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 01:00",0.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 01:00",0.22
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 01:00",44.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 01:00",0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 02:00",0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 02:00",0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 02:00",0.3
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 02:00",0.22
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 02:00",44.5
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 02:00",1.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 03:00",0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 03:00",0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 03:00",0.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 03:00",0.23
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 03:00",45.8
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 03:00",1.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 04:00",0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 04:00",0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 04:00",0.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 04:00",0.23
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 04:00",46.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 04:00",1.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 05:00",0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 05:00",0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 05:00",0.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 05:00",0.22
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 05:00",46.2
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 05:00",1.1
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 06:00",1.1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 06:00",0.6
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 06:00",0.21
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 06:00",44.6
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 06:00",0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 06:00",1
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 07:00",1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 07:00",2
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 07:00",0.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 07:00",0.21
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 07:00",43.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 07:00",0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 08:00",1.1
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 08:00",42
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 08:00",0.3
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 08:00",0.22
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 08:00",x
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 08:00",0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2023-12-01 09:00",1.3
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 09:00",0.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 09:00",0.22
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 09:00",41.3
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 09:00",1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2023-12-01 09:00",0
64,陽明,臺北市,3,臭氧,O3,ppb,"2023-12-01 10:00",41.2
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2023-12-01 10:00",0.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2023-12-01 10:00",0.22
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2023-12-01 10:00",4
