siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2022-12-01 00:00",1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2022-12-01 00:00",1
64,陽明,臺北市,3,臭氧,O3,ppb,"2022-12-01 00:00",34.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2022-12-01 00:00",0.16
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2022-12-01 00:00",5
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2022-12-01 00:00",0.7
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2022-12-01 01:00",4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2022-12-01 01:00",1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2022-12-01 01:00",0.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2022-12-01 01:00",0.17
64,陽明,臺北市,3,臭氧,O3,ppb,"2022-12-01 01:00",33.6
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2022-12-01 01:00",0.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2022-12-01 02:00",4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2022-12-01 02:00",0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2022-12-01 02:00",0.9
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2022-12-01 02:00",0.16
64,陽明,臺北市,3,臭氧,O3,ppb,"2022-12-01 02:00",33.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2022-12-01 02:00",0.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2022-12-01 03:00",7
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2022-12-01 03:00",0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2022-12-01 03:00",1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2022-12-01 03:00",0.16
64,陽明,臺北市,3,臭氧,O3,ppb,"2022-12-01 03:00",33.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2022-12-01 03:00",0.8
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2022-12-01 04:00",2
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2022-12-01 04:00",1
