siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 00:00",2.1
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 00:00",0.21
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 00:00",60
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 00:00",23
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 00:00",3
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 00:00",15
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 01:00",0.9
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 01:00",0.21
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 01:00",61
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 01:00",21
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 01:00",2
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 01:00",14
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 02:00",1
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 02:00",0.2
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 02:00",64
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 02:00",20
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 02:00",2
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 02:00",10
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 03:00",1
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 03:00",0.2
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 03:00",52
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 03:00",24
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 03:00",2
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 03:00",10
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 04:00",0.9
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 04:00",0.19
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 04:00",33
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 04:00",10
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 04:00",3
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 04:00",10
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 05:00",1.1
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 05:00",0.24
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 05:00",20
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 05:00",23
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 05:00",8
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 05:00",16
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 06:00",1
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 06:00",0.22
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 06:00",21
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 06:00",20
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 06:00",6
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 06:00",10
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 07:00",1
64,Yangming,"Taipei City",2,"Carbon monoxide",CO,ppm,"2025-10-01 07:00",0.21
64,Yangming,"Taipei City",3,Ozone,O3,ppb,"2025-10-01 07:00",22
64,Yangming,"Taipei City",4,PM10,PM10,μg/m3,"2025-10-01 07:00",21
64,Yangming,"Taipei City",7,"Nitrogen dioxide",NO2,ppb,"2025-10-01 07:00",6
64,Yangming,"Taipei City",33,PM2.5,PM2.5,μg/m3,"2025-10-01 07:00",11
64,Yangming,"Taipei City",1,"Sulfur dioxide",SO2,ppb,"2025-10-01 08:00",1.3
