siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 00:00:00",0.5
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 00:00:00",6.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 00:00:00",0.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 00:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 00:00:00",40.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 00:00:00",0.13
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 01:00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 01:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 01:00:00",0.6
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 01:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 01:00:00",40.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 01:00:00",0.13
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 02:00:00",1.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 02:00:00",1.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 02:00:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 02:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 02:00:00",39.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 02:00:00",0.13
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 03:00:00",0.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 03:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 03:00:00",0.11
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 03:00:00",39.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 03:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 03:00:00",1.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 04:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 04:00:00",1.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 04:00:00",0.13
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 04:00:00",38.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 04:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 04:00:00",0.9
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 05:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 05:00:00",1.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 05:00:00",0.12
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 05:00:00",38.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 05:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 05:00:00",0.9
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 06:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 06:00:00",1.3
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 06:00:00",0.13
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 06:00:00",37.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 06:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 06:00:00",1.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 07:00:00",0.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 07:00:00",1.3
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 07:00:00",0.15
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 07:00:00",37.7
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 07:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 07:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 08:00:00",0.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 08:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 08:00:00",0.15
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 08:00:00",37.7
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 08:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 08:00:00",3.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 09:00:00",1.1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 09:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 09:00:00",0.13
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 09:00:00",37.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 09:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 09:00:00",3.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 10:00:00",2.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 10:00:00",1.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 10:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 10:00:00",37.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 10:00:00",0.14
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 10:00:00",1.1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 11:00:00",1.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 11:00:00",1.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 11:00:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 11:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 11:00:00",38.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 11:00:00",0.15
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 12:00:00",1.3
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 12:00:00",1.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 12:00:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 12:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 12:00:00",39.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 12:00:00",0.14
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 13:00:00",0.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 13:00:00",1.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 13:00:00",0.15
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 13:00:00",39.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 13:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 13:00:00",2.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 14:00:00",0.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 14:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 14:00:00",0.14
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 14:00:00",40.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 14:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 14:00:00",3.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 15:00:00",1.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 15:00:00",2.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 15:00:00",1.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 15:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 15:00:00",40.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 15:00:00",0.13
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 16:00:00",1.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 16:00:00",0.14
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 16:00:00",40.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 16:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 16:00:00",1.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 16:00:00",4.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 17:00:00",4.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 17:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 17:00:00",0.15
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 17:00:00",40.6
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 17:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 17:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 18:00:00",1.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 18:00:00",2.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 18:00:00",1.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 18:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 18:00:00",41.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 18:00:00",0.14
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 19:00:00",3.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 19:00:00",1.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 19:00:00",0.13
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 19:00:00",40.4
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 19:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 19:00:00",1.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 20:00:00",0.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 20:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 20:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 20:00:00",40.6
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 20:00:00",0.14
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 20:00:00",1.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 21:00:00",0.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 21:00:00",1.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 21:00:00",0.13
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 21:00:00",40.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 21:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 21:00:00",3.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 22:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 22:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 22:00:00",0.12
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 22:00:00",39.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 22:00:00",5.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 22:00:00",2.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-01 23:00:00",5.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-01 23:00:00",0.13
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-01 23:00:00",1.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-01 23:00:00",2.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-01 23:00:00",1.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-01 23:00:00",39.3
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 00:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 00:00:00",1.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 00:00:00",2.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 00:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 00:00:00",0.13
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 00:00:00",38.5
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 01:00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 01:00:00",1.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 01:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 01:00:00",39.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 01:00:00",0.12
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 01:00:00",1.5
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 02:00:00",1.5
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 02:00:00",1.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 02:00:00",39.4
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 02:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 02:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 02:00:00",0.13
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 03:00:00",1.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 03:00:00",0.12
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 03:00:00",40.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 03:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 03:00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 03:00:00",1.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 04:00:00",0.12
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 04:00:00",40.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 04:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 04:00:00",1.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 04:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 04:00:00",1.4
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 05:00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 05:00:00",4.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 05:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 05:00:00",40.3
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 05:00:00",0.12
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 05:00:00",1.5
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 06:00:00",3.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 06:00:00",1.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 06:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 06:00:00",39.6
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 06:00:00",0.12
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 06:00:00",1.5
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 07:00:00",1.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 07:00:00",0.11
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 07:00:00",39.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 07:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 07:00:00",1.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 07:00:00",2.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 08:00:00",1.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 08:00:00",0.11
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 08:00:00",39.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 08:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 08:00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 08:00:00",6.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 09:00:00",1.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 09:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 09:00:00",39.3
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 09:00:00",0.12
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 09:00:00",1.4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 09:00:00",6.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 10:00:00",1.4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 10:00:00",2.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 10:00:00",1.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 10:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 10:00:00",39.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 10:00:00",0.12
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 11:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 11:00:00",1.6
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 11:00:00",0.11
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 11:00:00",40.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 11:00:00",12.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 11:00:00",0.9
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 12:00:00",1.4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 12:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 12:00:00",0.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 12:00:00",15.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 12:00:00",39.9
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 12:00:00",0.11
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 13:00:00",1.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 13:00:00",10.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 13:00:00",39.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 13:00:00",0.11
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 13:00:00",1.5
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 13:00:00",3.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 14:00:00",3.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 14:00:00",1.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 14:00:00",0.11
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 14:00:00",40.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 14:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 14:00:00",1.1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 15:00:00",1.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 15:00:00",0.12
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 15:00:00",42.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 15:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 15:00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 15:00:00",3.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 16:00:00",2.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 16:00:00",1.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 16:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 16:00:00",44.9
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 16:00:00",0.12
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 16:00:00",1.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 17:00:00",0.13
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 17:00:00",1.4
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 17:00:00",46.0
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 17:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 17:00:00",1.1
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 17:00:00",1.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 18:00:00",1.3
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 18:00:00",10.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 18:00:00",0.14
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 18:00:00",1.4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 18:00:00",1.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 18:00:00",46.3
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 19:00:00",5.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 19:00:00",46.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 19:00:00",1.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 19:00:00",1.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 19:00:00",1.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 19:00:00",0.15
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 20:00:00",45.2
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 20:00:00",5.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 20:00:00",1.4
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 20:00:00",3.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 20:00:00",1.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 20:00:00",0.14
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 21:00:00",5.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 21:00:00",0.15
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 21:00:00",44.6
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 21:00:00",2.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 21:00:00",1.3
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 21:00:00",1.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-12-02 22:00:00",0.14
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-12-02 22:00:00",5.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-12-02 22:00:00",1.1
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-12-02 22:00:00",1.3
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 22:00:00",2.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-12-02 22:00:00",44.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-12-02 23:00:00",3.0
