siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 00:00:00",11.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 00:00:00",1.0
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 00:00:00",0.17
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 00:00:00",44.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 00:00:00",19.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 00:00:00",1.13
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 01:00:00",2.03
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 01:00:00",2.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 01:00:00",0.14
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 01:00:00",43.7
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 01:00:00",18.0
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 01:00:00",15.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 02:00:00",1.5
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 02:00:00",10.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 02:00:00",1.34
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 02:00:00",20.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 02:00:00",44.4
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 02:00:00",0.13
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 03:00:00",9.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 03:00:00",1.7
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 03:00:00",0.13
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 03:00:00",43.3
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 03:00:00",18.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 03:00:00",1.06
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 04:00:00",1.5
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 04:00:00",11.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 04:00:00",0.95
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 04:00:00",14.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 04:00:00",42.3
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 04:00:00",0.14
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 05:00:00",1.6
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 05:00:00",11.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 05:00:00",0.92
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 05:00:00",19.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 05:00:00",45.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 05:00:00",0.14
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 06:00:00",17.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 06:00:00",0.91
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 06:00:00",15.0
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 06:00:00",45.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 06:00:00",0.15
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 06:00:00",1.6
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 07:00:00",6.0
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2020-11-01 07:00:00",1.9
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2020-11-01 07:00:00",0.14
64,陽明,臺北市,3,臭氧,O3,ppb,"2020-11-01 07:00:00",44.1
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2020-11-01 07:00:00",11.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 07:00:00",1.06
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2020-11-01 08:00:00",6.0
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2020-11-01 08:00:00",1.06
