siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-10-01 00:00:00",14
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-10-01 00:00:00",0.17
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-10-01 00:00:00",40.8
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-10-01 00:00:00",26
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-10-01 00:00:00",2.4
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-10-01 00:00:00",1.5
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-10-01 01:00:00",1.6
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-10-01 01:00:00",19
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-10-01 01:00:00",3.9
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-10-01 01:00:00",26
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-10-01 01:00:00",43.1
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-10-01 01:00:00",0.19
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-10-01 02:00:00",1.8
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-10-01 02:00:00",21
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-10-01 02:00:00",3.7
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-10-01 02:00:00",25
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-10-01 02:00:00",43.8
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-10-01 02:00:00",0.2
64,陽明,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2021-10-01 03:00:00",10
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-10-01 03:00:00",1.5
64,陽明,臺北市,7,二氧化氮,NO2,ppb,"2021-10-01 03:00:00",2.5
64,陽明,臺北市,4,懸浮微粒,PM10,μg/m3,"2021-10-01 03:00:00",17
64,陽明,臺北市,3,臭氧,O3,ppb,"2021-10-01 03:00:00",50.2
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-10-01 03:00:00",0.19
64,陽明,臺北市,1,二氧化硫,SO2,ppb,"2021-10-01 04:00:00",1.5
64,陽明,臺北市,2,一氧化碳,CO,ppm,"2021-10-01 04:00:00",0.19
